team,week,result,opponent,QB,WR1,WR2,RB1,RB2,TE,FLEX,K,D,FLEXP
jeff,1,L,dave,25.34,14.3,11.78,13.42,14.6,9.73,14.19,8.14,7.93,RB
dave,1,W,jeff,46.22,3.2,14.9,7.35,17.05,5.45,11.25,10,-1,WR
ryan,1,W,steve,40.70,5.8,13.85,12.5,4.7,3.2,3.25,5.0,10,WR
steve,1,L,ryan,16.06,13.15,14.85,0.3,14.2,1.2,7.4,3.0,6.0,RB
fred,1,L,john,11.36,6.75,2.1,3.15,7.15,14.15,14.6,5.0,18.0,WR
john,1,W,fred,28.7,13.65,8.5,17.55,8.15,30.2,8.75,18.0,14.0,RB
owen,1,W,mark,36.44,7.05,16.85,10.5,10.95,12.0,29.4,4.0,3.0,RB
mark,1,L,owen,24.24,32.2,11.05,13.85,8.2,4.3,12.95,10.0,8.0,WR
brian,1,W,anthony,26.86,15.55,15.05,26.7,12.7,12.1,2.4,9.0,4.0,RB
anthony,1,L,brian,11.78,6.4,19.15,6.8,17.8,8.8,13.85,13.0,3,RB
frank,1,L,pete,15.72,18.64,8.55,22.25,10.85,12.85,3.3,4.0,8.0,WR
pete,1,W,frank,23.62,6.85,10.65,22.25,20.25,18.15,11.15,6.0,7.0,WR

