team,week,result,opponent,QB,WR1,WR2,RB1,RB2,TE,FLEX,K,D,FLEXP
pete,6,L,anthony,15.74,20.35,1.55,12.6,12.65,34,7.13,7,0,WR
anthony,6,W,pete,38.58,6.9,9.4,4.6,13.5,2.95,21.2,15,3,WR
jeff,7,L,brian,17.78,8.7,8.84,3.1,18.65,7.35,6.4,5,6,RB
brian,7,W,jeff,34.94,9.75,26.5,18.35,10,6.85,4.75,8,11,WR
dave,7,L,nate,25,13.9,2.8,19.55,12.8,7.55,2.1,5,20,RB
nate,7,W,dave,24.6,33.75,10,1.5,14.95,13.7,11.35,5,2,RB
owen,7,L,steve,33.78,8.45,11.8,18.35,11.4,13.05,12.5,10,14,RB
steve,7,W,owen,31,10.1,9.45,19.1,25.54,14.6,14.45,11,5,WR
ryan,7,W,fred,32.42,3.05,13.1,7.5,12.2,6.4,7.55,3,12,RB
fred,7,L,ryan,6.12,2.85,13.5,4.5,7.45,4.9,17.15,11,0,RB
pete,7,L,frank,16.3,6.79,9.05,25.1,14.7,7.1,7.35,16,2,TE
frank,7,W,pete,29.02,7.5,9.62,14.25,31.6,3.5,11.05,10,6,WR
anthony,7,L,john,22.26,14.1,7.5,7.15,18.7,6.35,4.05,1,15,WR
john,7,W,anthony,39.58,24.75,8.9,16.15,14.6,15.75,22.7,13,8,RB
jeff,8,L,nate,20.14,6.8,11.04,10.15,12.75,3.15,14.85,7,16,RB
nate,8,W,jeff,16.46,44.45,11.8,22.05,6.04,3.35,18.05,4,24,WR
dave,8,L,pete,4.48,19.4,4.35,16.5,5.7,12.5,7.9,17,9,RB
pete,8,W,dave,42.58,16.6,3.9,20.3,12.35,11.6,1.7,7,8,RB
owen,8,W,brian,46.02,16.05,3.6,17,16.05,4.45,10.7,9,12,WR
brian,8,L,owen,35.26,9.45,6.1,4.3,3.75,16.85,3.95,6,11,TE
ryan,8,W,steve,30.66,8.95,25.15,17.45,24.8,2.75,23.95,1,15,RB
steve,8,L,ryan,32.6,6.1,5.85,5.71,15.65,8.7,5.05,3,8,RB
fred,8,L,john,0.9,12.4,18.8,14.4,12.5,4.55,9.55,5,20,WR
john,8,W,fred,35,8.75,5.55,11.15,23.2,8.05,3.75,2,4,WR
anthony,8,W,frank,35.94,16.75,11.15,16.75,11.7,10.05,4.4,7,8,RB
frank,8,L,anthony,12.94,15.28,11.3,15.3,30.30,4.3,10.5,10,11,WR
jeff,9,W,pete,28.88,2.46,7.15,30.58,6.45,5.8,15.3,10,-2,RB
pete,9,L,jeff,28.78,20.4,0,13.3,10.45,5.5,7.9,7,6,WR
dave,9,L,anthony,18.94,6.45,11.66,17,13.1,7.5,8.65,11,19,TE
anthony,9,W,dave,23.16,25.06,4.1,10.6,35.95,13.3,12.8,-5,7,WR
owen,9,W,nate,12.7,9.1,43.45,20.6,16.25,9.75,38.3,8,1,RB
nate,9,L,owen,28.88,3.65,7.1,0,6.85,22.15,1.1,11,6,RB
ryan,9,L,brian,22.84,7.35,2.55,27.35,2.85,19.1,20.6,7,10,WR
brian,9,W,ryan,10.56,18.35,32.41,19.4,26.05,26.8,1.75,12,3,WR
fred,9,W,steve,44.78,9.2,1.85,16.75,11.4,6.3,8.1,7,1,RB
steve,9,L,fred,2.08,6.6,10.1,12.65,4.1,4.65,10.95,6,12,RB
frank,9,W,john,25.24,15.51,14.2,27.55,28.6,16.05,3.9,13,2,RB
john,9,L,frank,12.72,17.4,8.9,17.4,28.2,1.2,15.65,9,22,RB
jeff,10,L,anthony,7.12,6.2,4.15,4.6,5.35,5.45,3.35,5,15,RB
anthony,10,W,jeff,7.06,14,30.4,17.1,5.1,1.7,3.8,11,13,WR
dave,10,W,frank,33.84,7.25,20.1,4.5,6.6,15.1,7.1,5,7,TE
frank,10,L,dave,18.42,14.16,4.85,9.8,9.5,4.45,15.4,7,12,WR
owen,10,L,pete,19.36,18.85,4.05,16.5,18.85,13.8,9.35,4,11,RB
pete,10,W,owen,50.18,6.05,2,17.8,12.85,1.1,30.6,0,7,RB
ryan,10,L,nate,24.72,4.4,18.95,23.60,15.3,3.35,17.85,9,7,RB
nate,10,W,ryan,27.78,22.15,8.05,18.45,12.10,1.95,23.22,6,5,RB
fred,10,L,brian,8.6,3.2,4.15,6.65,10.05,2.9,6.45,8,5,WR
brian,10,W,fred,34.3,25.95,13.5,26.7,23.05,7.95,5.6,12,8,WR
steve,10,L,john,26.72,9.15,7.85,3.7,14.4,0,5.45,9,2,RB
john,10,W,steve,14.26,26.55,13.3,24.3,12.25,7.65,14.15,19,12,RB
jeff,11,L,frank,19.72,14.8,5.08,9.55,7.05,4.4,5.1,12,6,RB
frank,11,W,jeff,19.72,26.33,13.15,23.2,3.7,12.15,10.1,9,3,RB
dave,11,L,john,23.46,4.85,1.1,11.1,12.05,1.6,12.6,2,7,TE
john,11,W,dave,11.62,2.35,8.77,29.35,13.15,7.45,30.1,13,27,RB
owen,11,W,anthony,24.18,15.8,11.6,11.5,12,11.15,23.2,11,19,RB
anthony,11,L,owen,32.26,8.34,11.05,17.2,19.1,13.6,1.45,9,7,WR
ryan,11,W,pete,24.28,29.25,10.4,8.6,5.45,8.45,14.3,6,7,RB
pete,11,L,ryan,22.7,6.61,9,8.5,17.3,11.65,12.75,15,6,RB
fred,11,L,nate,23.24,15.05,6.5,4.4,6.85,17.8,4.55,4,6,RB
nate,11,W,fred,22.8,31.95,18.7,10.6,12.75,13.95,16.15,12,0,RB
