Pick,PreRank,Keeper,Player,Position
1,19,0,G.Bernard,RB
2,22,0,D.Martin,RB
3,23,1,A.Rodgers,QB
4,4,1,A.Peterson,RB
5,2,1,J.Charles,RB
6,11,0,A.Green,WR
7,26,1,A.Morris,RB
8,21,1,D.Brees,QB
9,25,1,A.Foster,RB
10,3,1,M.Forte,RB
11,12,1,M.Lynch,RB
12,1,1,L.McCoy,RB
13,35,0,J.Thomas,TE
14,13,0,B.Marshall,WR
15,44,0,R.Bush,RB
16,6,1,C.Johnson,WR
17,15,1,D.Murray,RB
18,16,0,A.Ellington,RB
19,65,0,C.Newton,QB
20,38,0,V.Cruz,WR
21,47,0,B.Tate,RB
22,18,0,J.Nelson,WR
23,9,1,D.Bryant,WR
24,14,1,J.Jones,WR
25,43,0,C.Spiller,RB
26,39,1,L.Fitzgerald,WR
27,97,0,J.Reed,TE
28,36,0,V.Jackson,WR
29,37,0,S.Vereen,RB
30,29,1,Z.Stacy,RB
31,58,1,M.Stafford,QB
32,27,1,K.Allen,WR
33,53,0,D.Jackson,WR
34,76,0,R.Rice,RB
35,8,1,J.Graham,TE
36,32,0,T.Gerhart,RB
37,71,0,J.Edelman,WR
38,17,1,P.Manning,QB
39,20,1,A.Brown,WR
40,51,0,F.Gore,RB
41,74,0,B.Sankey,RB
42,46,0,R.Gronkowski,TE
43,7,1,D.Thomas,WR
44,28,1,R.Cobb,WR
45,50,0,M.Crabtree,WR
46,82,1,S.Jackson,RB
47,57,1,T.Brady,QB
48,41,0,C.Patterson,WR
49,33,0,R.Jennings,RB
50,91,0,T.Richardson,RB
51,31,1,R.Matthews,RB
52,101,0,S.Watkins,WR
53,48,0,M.Ryan,QB
54,10,1,M.Ball,RB
55,62,0,T.Hilton,WR
56,61,0,C.Johnson,RB
57,56,0,V.Davis,TE
58,42,0,M.Floyd,WR
59,116,0,W.Welker,WR
60,5,1,E.Lacy,RB
61,88,0,C.Hyde,RB
62,77,0,P.Thomas,RB
63,92,0,L.Miller,RB
64,84,1,R.Wilson,QB
65,40,0,A.Johnson,WR
66,45,0,P.Harvin,WR
67,49,0,J.Bell,RB
68,67,0,N.Foles,QB
69,52,1,P.Garcon,WR
70,99,0,M.Evans,WR
71,30,0,R.White,WR
72,90,0,R.Wayne,WR
73,86,0,J.Witten,TE
74,93,0,S.Ridley,RB
75,98,0,B.Pierce,RB
76,59,1,A.Luck,QB
77,75,0,M.Jones-Drew,RB
78,69,0,E.Decker,WR
79,34,1,L.Bell,RB
80,47,0,G.Tate,WR
81,80,0,R.Griffin,QB
82,100,0,P.Rivers,QB
83,66,0,M.Wallace,WR
84,63,0,J.Cutler,QB
85,64,0,M.Colston,WR
86,107,0,D.Woodhead,RB
87,72,0,T.Williams,WR
88,60,0,E.Sanders,WR
89,161,0,J.Jones,WR
90,54,0,T.Smith,WR
91,167,0,J.Manziel,QB
92,125,0,D.Sproles,RB
93,137,0,L.Green,TE
94,68,0,J.Maclin,WR
95,105,0,D.Pitta,TE
96,112,0,D.Bowe,WR
97,73,1,T.Romo,QB
98,172,0,D.Amendola,WR
99,123,0,L.Blount,RB
100,83,0,J.Hill,RB
101,127,0,T.West,RB
102,106,0,K.Benjamin,WR
103,95,0,J.Hunter,WR
104,128,0,D.Williams,RB
105,133,0,Seattle,D
106,102,0,Z.Ertz,TE
107,131,0,D.Freeman,RB
108,94,0,B.Roethlisberger,QB
109,113,0,M.Wheaton,WR
110,108,0,C.Shorts,WR
111,115,0,B.Hartline,WR
112,103,0,K.Moreno,RB
113,87,0,G.Olsen,TE
114,1826,0,E.Ebron,TE
115,85,0,K.Rudolph,TE
116,78,0,B.Cooks,WR
117,2001,0,J.Gordon,WR
118,130,0,C.Palmer,QB
119,89,0,C.Kaepernick,QB
120,79,0,F.Jackson,RB
121,96,0,R.Randle,WR
122,114,0,R.Cooper,WR
123,110,0,M.Ingram,RB
124,142,0,D.McFadden,RB
125,81,1,K.Wright,WR
126,2427,0,D.McCluster,RB
127,168,0,K.Robinson,RB
